YEAR,MO,DY,HR,Temp,Humidity,Pressure,Wind_Speed
2021,12,31,19,8.15,6.77,100.49,2.11
2021,12,31,20,8.01,6.71,100.44,2.14
2021,12,31,21,8,6.71,100.41,2.1
2021,12,31,22,8.03,6.71,100.41,2.17
2021,12,31,23,8.07,6.71,100.39,2.27
2022,1,1,0,7.99,6.65,100.35,2.22
2022,1,1,1,7.71,6.53,100.34,2
2022,1,1,2,7.39,6.41,100.32,1.88
2022,1,1,3,7.21,6.35,100.26,1.83
2022,1,1,4,7.2,6.35,100.19,2.02
2022,1,1,5,7.38,6.41,100.16,2.18
2022,1,1,6,7.62,6.47,100.16,2.5
2022,1,1,7,8.09,6.65,100.11,3.14
2022,1,1,8,8.54,6.84,100.05,3.29
2022,1,1,9,9.01,7.02,100.09,3.21
2022,1,1,10,9.34,7.08,100.1,2.88
2022,1,1,11,9.85,7.26,99.96,2.65
2022,1,1,12,10.34,7.45,99.82,2.48
2022,1,1,13,10.98,7.69,99.7,2.29
2022,1,1,14,10.95,7.81,99.66,1.86
2022,1,1,15,9.83,7.57,99.69,1.55
2022,1,1,16,9.23,7.39,99.67,1.69
2022,1,1,17,9.28,7.32,99.63,1.58
2022,1,1,18,9.16,7.32,99.62,1.61
2022,1,1,19,9.13,7.26,99.62,1.54
2022,1,1,20,9.08,7.2,99.57,1.45
2022,1,1,21,8.62,7.08,99.46,1.9
2022,1,1,22,8.65,7.02,99.35,2.17
2022,1,1,23,8.65,6.96,99.29,2.14
2022,1,2,0,8.69,6.96,99.24,2.27
2022,1,2,1,8.55,6.9,99.21,2.4
2022,1,2,2,8.48,6.9,99.14,2.27
2022,1,2,3,8.23,6.84,99.1,1.9
2022,1,2,4,7.98,6.71,99.06,1.78
2022,1,2,5,8,6.65,99.16,2.09
2022,1,2,6,7.9,6.59,99.22,1.94
2022,1,2,7,7.49,6.47,99.2,1.66
2022,1,2,8,8.01,6.59,99.31,1.79
2022,1,2,9,8.76,6.77,99.34,1.65
2022,1,2,10,9.4,6.96,99.35,1.86
2022,1,2,11,10.6,7.26,99.32,2.29
2022,1,2,12,11.36,7.39,99.3,2.91
2022,1,2,13,11.31,7.14,99.35,3.41
2022,1,2,14,10.43,6.71,99.44,3.35
2022,1,2,15,8.98,5.98,99.56,3.49
2022,1,2,16,7.21,5.31,99.77,3.88
2022,1,2,17,5.73,4.64,100,5
2022,1,2,18,4.37,4.09,100.16,5.37
2022,1,2,19,3.15,3.72,100.32,5.64
2022,1,2,20,1.98,3.48,100.45,5.49
2022,1,2,21,1.1,3.3,100.52,5
2022,1,2,22,0.55,3.23,100.62,4.6
2022,1,2,23,0.12,3.05,100.67,4.62
2022,1,3,0,-0.38,2.93,100.62,4.71
2022,1,3,1,-0.57,2.81,100.85,4.22
2022,1,3,2,-0.74,2.75,100.9,4.26
2022,1,3,3,-0.93,2.75,100.93,3.84
2022,1,3,4,-1.15,2.69,101.01,4.21
2022,1,3,5,-1.68,2.56,100.97,4.63
2022,1,3,6,-2.15,2.5,101.01,5.23
2022,1,3,7,-2.6,2.38,100.96,5.48
2022,1,3,8,-2.63,2.32,101.05,5.34
2022,1,3,9,-2.56,2.2,101.06,5.44
2022,1,3,10,-2.51,2.2,101.11,5.66
2022,1,3,11,-2.56,2.2,100.93,5.78
2022,1,3,12,-2.62,2.2,100.69,6.38
2022,1,3,13,-2.72,2.2,100.72,6.23
2022,1,3,14,-2.89,2.2,100.76,6.09
2022,1,3,15,-3.04,2.08,100.75,6.46
2022,1,3,16,-3.34,2.01,100.73,7.04
2022,1,3,17,-3.69,1.95,100.81,7.27
2022,1,3,18,-4.15,1.89,100.97,6.88
2022,1,3,19,-4.46,1.83,101.06,6.63
2022,1,3,20,-4.73,1.77,101.14,6.35
2022,1,3,21,-5.27,1.77,101.25,5.79
2022,1,3,22,-5.85,1.77,101.34,5.5
2022,1,3,23,-6.26,1.71,101.4,5.41
2022,1,4,0,-6.49,1.65,101.49,5.29
2022,1,4,1,-6.66,1.59,101.59,4.92
2022,1,4,2,-6.76,1.53,101.7,4.61
2022,1,4,3,-6.77,1.53,101.78,4.35
2022,1,4,4,-6.81,1.53,101.84,4.17
2022,1,4,5,-6.88,1.53,101.94,3.96
2022,1,4,6,-6.97,1.53,102,3.58
2022,1,4,7,-6.93,1.53,102.02,3.22
2022,1,4,8,-5.85,1.53,102.05,2.95
2022,1,4,9,-4.3,1.59,102.07,2.36
2022,1,4,10,-2.64,1.59,102.05,1.53
2022,1,4,11,-1.12,1.65,101.96,1.06
2022,1,4,12,-0.13,1.83,101.88,1.67
2022,1,4,13,0.51,2.01,101.83,2.4
2022,1,4,14,0.64,2.2,101.83,2.75
2022,1,4,15,0.03,2.44,101.82,2.36
2022,1,4,16,-2.38,2.56,101.81,2.24
2022,1,4,17,-2.82,2.5,101.8,2.58
2022,1,4,18,-2.58,2.56,101.81,2.83
2022,1,4,19,-2.52,2.62,101.8,2.94
2022,1,4,20,-2.48,2.69,101.77,3.02
2022,1,4,21,-2.52,2.69,101.73,3.1
2022,1,4,22,-2.66,2.75,101.68,3.11
2022,1,4,23,-2.81,2.75,101.61,3.15
2022,1,5,0,-2.91,2.81,101.52,3.21
2022,1,5,1,-2.81,2.87,101.46,3.24
2022,1,5,2,-2.65,2.99,101.4,3.16
2022,1,5,3,-2.38,3.17,101.32,2.95
2022,1,5,4,-1.7,3.36,101.22,2.71
2022,1,5,5,-1.1,3.54,101.12,2.47
2022,1,5,6,-0.52,3.72,101,2.57
2022,1,5,7,0.71,4.09,100.85,3.69
2022,1,5,8,2.03,4.39,100.73,4.18
2022,1,5,9,2.94,4.64,100.62,4.22
2022,1,5,10,3.75,4.94,100.51,4.75
2022,1,5,11,4.33,5.13,100.36,4.93
