YEAR,MO,DY,HR,Temp
2022,1,1,0,7.99
2022,1,1,1,7.71
2022,1,1,2,7.39
2022,1,1,3,7.21
2022,1,1,4,7.2
2022,1,1,5,7.38
2022,1,1,6,7.62
2022,1,1,7,8.09
2022,1,1,8,8.54
2022,1,1,9,9.01
2022,1,1,10,9.34
2022,1,1,11,9.85
2022,1,1,12,10.34
2022,1,1,13,10.98
2022,1,1,14,10.95
2022,1,1,15,9.83
2022,1,1,16,9.23
2022,1,1,17,9.28
2022,1,1,18,9.16
2022,1,1,19,9.13
2022,1,1,20,9.08
2022,1,1,21,8.62
2022,1,1,22,8.65
2022,1,1,23,8.65
2022,1,2,0,8.69
2022,1,2,1,8.55
2022,1,2,2,8.48
2022,1,2,3,8.23
2022,1,2,4,7.98
2022,1,2,5,8
2022,1,2,6,7.9
2022,1,2,7,7.49
2022,1,2,8,8.01
2022,1,2,9,8.76
2022,1,2,10,9.4
2022,1,2,11,10.6
2022,1,2,12,11.36
2022,1,2,13,11.31
2022,1,2,14,10.43
2022,1,2,15,8.98
2022,1,2,16,7.21
2022,1,2,17,5.73
2022,1,2,18,4.37
2022,1,2,19,3.15
2022,1,2,20,1.98
2022,1,2,21,1.1
2022,1,2,22,0.55
2022,1,2,23,0.12
2022,1,3,0,-0.38
2022,1,3,1,-0.57
2022,1,3,2,-0.74
2022,1,3,3,-0.93
2022,1,3,4,-1.15
2022,1,3,5,-1.68
2022,1,3,6,-2.15
2022,1,3,7,-2.6
2022,1,3,8,-2.63
2022,1,3,9,-2.56
2022,1,3,10,-2.51
2022,1,3,11,-2.56
2022,1,3,12,-2.62
2022,1,3,13,-2.72
2022,1,3,14,-2.89
2022,1,3,15,-3.04
2022,1,3,16,-3.34
2022,1,3,17,-3.69
2022,1,3,18,-4.15
2022,1,3,19,-4.46
2022,1,3,20,-4.73
2022,1,3,21,-5.27
2022,1,3,22,-5.85
2022,1,3,23,-6.26
2022,1,4,0,-6.49
2022,1,4,1,-6.66
2022,1,4,2,-6.76
2022,1,4,3,-6.77
2022,1,4,4,-6.81
2022,1,4,5,-6.88
2022,1,4,6,-6.97
2022,1,4,7,-6.93
2022,1,4,8,-5.85
2022,1,4,9,-4.3
2022,1,4,10,-2.64
2022,1,4,11,-1.12
2022,1,4,12,-0.13
2022,1,4,13,0.51
2022,1,4,14,0.64
2022,1,4,15,0.03
2022,1,4,16,-2.38
2022,1,4,17,-2.82
2022,1,4,18,-2.58
2022,1,4,19,-2.52
2022,1,4,20,-2.48
2022,1,4,21,-2.52
2022,1,4,22,-2.66
2022,1,4,23,-2.81
2022,1,5,0,-2.91
2022,1,5,1,-2.81
2022,1,5,2,-2.65
2022,1,5,3,-2.38
